deposit_id,customer_id,deposit_type,principal_amount,interest_rate,term_months,maturity_date,deposit_status,opened_date
DEP0000278,CUST000446,RECURRING,510440.53,6.86,12,2025-01-06,ACTIVE,2024-01-08
DEP0000279,CUST000375,RECURRING,48450.76,6.11,18,2023-12-29,ACTIVE,2022-06-30
DEP0000280,CUST000464,RECURRING,363952.91,7.29,60,2030-08-20,ACTIVE,2025-08-22
DEP0000281,CUST000239,RECURRING,943647.11,7.49,6,2025-01-03,ACTIVE,2024-07-05
DEP0000282,CUST000031,RECURRING,882013.65,6.89,18,2025-07-16,ACTIVE,2024-01-16
DEP0000283,CUST000408,FIXED,628473.38,6.43,60,2030-11-13,ACTIVE,2025-11-15
DEP0000284,CUST000264,FIXED,869760.76,6.42,6,2023-10-02,ACTIVE,2023-04-03
DEP0000285,CUST000431,FIXED,405504.92,6.84,18,2024-04-13,ACTIVE,2022-10-14
DEP0000286,CUST000105,FIXED,357860.07,7.0,60,2028-11-07,ACTIVE,2023-11-10
DEP0000287,CUST000389,RECURRING,258514.29,5.64,18,2025-05-05,ACTIVE,2023-11-05
DEP0000288,CUST000442,FIXED,687746.03,5.7,36,2026-08-16,ACTIVE,2023-08-18
DEP0000289,CUST000307,RECURRING,963154.24,5.54,24,2024-06-12,ACTIVE,2022-06-14
DEP0000290,CUST000326,FIXED,720940.26,5.65,36,2025-10-27,ACTIVE,2022-10-29
DEP0000291,CUST000036,RECURRING,280992.41,5.54,12,2024-08-26,ACTIVE,2023-08-28
DEP0000292,CUST000409,RECURRING,162534.92,6.74,18,2024-03-25,ACTIVE,2022-09-25
DEP0000293,CUST000429,FIXED,966197.31,7.41,6,2025-08-09,ACTIVE,2025-02-08
DEP0000294,CUST000380,FIXED,649859.84,6.9,12,2023-04-12,ACTIVE,2022-04-13
DEP0000295,CUST000097,RECURRING,376595.95,6.21,36,2029-01-06,MATURED,2026-01-08
DEP0000296,CUST000194,FIXED,725521.26,5.63,18,2026-11-19,MATURED,2025-05-21
DEP0000297,CUST000077,FIXED,307708.74,5.65,60,2026-08-30,MATURED,2021-09-01
DEP0000298,CUST000266,RECURRING,827618.36,7.09,24,2027-06-15,ACTIVE,2025-06-16
DEP0000299,CUST000146,FIXED,138565.98,7.62,12,2025-04-20,ACTIVE,2024-04-21
DEP0000300,CUST000115,RECURRING,135016.99,5.77,60,2031-02-19,ACTIVE,2026-02-21
