card_id,customer_id,card_type,credit_limit,outstanding_balance,available_credit,utilization_percentage,card_status,payment_due_date
CARD000275,CUST000103,VISA,150000.0,33236.15,116763.85,22.16,ACTIVE,2026-08-19
CARD000276,CUST000024,MASTERCARD,100000.0,20634.45,79365.55,20.63,BLOCKED,2026-07-28
CARD000277,CUST000206,RUPAY,50000.0,28402.15,21597.85,56.8,ACTIVE,2026-08-03
CARD000278,CUST000136,MASTERCARD,150000.0,16366.5,133633.5,10.91,BLOCKED,2026-08-03
CARD000279,CUST000411,MASTERCARD,50000.0,1650.63,48349.37,3.3,EXPIRED,2026-08-21
CARD000280,CUST000447,VISA,100000.0,763.29,99236.71,0.76,ACTIVE,2026-08-11
CARD000281,CUST000440,AMEX,150000.0,40200.96,109799.04,26.8,EXPIRED,2026-08-17
CARD000282,CUST000455,RUPAY,50000.0,31942.56,18057.44,63.89,ACTIVE,2026-07-29
CARD000283,CUST000422,RUPAY,300000.0,271601.55,28398.45,90.53,ACTIVE,2026-07-27
CARD000284,CUST000477,AMEX,150000.0,42069.46,107930.54,28.05,ACTIVE,2026-08-12
CARD000285,CUST000102,RUPAY,200000.0,14759.42,185240.58,7.38,ACTIVE,2026-07-30
CARD000286,CUST000179,VISA,300000.0,95356.83,204643.17,31.79,ACTIVE,2026-08-14
CARD000287,CUST000126,VISA,300000.0,256727.12,43272.88,85.58,ACTIVE,2026-08-09
CARD000288,CUST000258,RUPAY,200000.0,3322.71,196677.29,1.66,ACTIVE,2026-08-01
CARD000289,CUST000442,VISA,50000.0,2996.75,47003.25,5.99,ACTIVE,2026-08-11
CARD000290,CUST000325,MASTERCARD,100000.0,96488.87,3511.13,96.49,ACTIVE,2026-08-01
CARD000291,CUST000394,MASTERCARD,50000.0,7499.55,42500.45,15.0,ACTIVE,2026-08-06
CARD000292,CUST000435,AMEX,50000.0,10456.55,39543.45,20.91,ACTIVE,2026-08-17
CARD000293,CUST000397,MASTERCARD,50000.0,9261.88,40738.12,18.52,BLOCKED,2026-08-15
CARD000294,CUST000375,VISA,200000.0,144775.68,55224.32,72.39,BLOCKED,2026-07-27
CARD000295,CUST000286,RUPAY,100000.0,16086.05,83913.95,16.09,ACTIVE,2026-07-30
CARD000296,CUST000075,RUPAY,150000.0,46373.57,103626.43,30.92,BLOCKED,2026-08-05
CARD000297,CUST000264,VISA,300000.0,35610.83,264389.17,11.87,ACTIVE,2026-08-17
CARD000298,CUST000320,MASTERCARD,200000.0,68641.09,131358.91,34.32,BLOCKED,2026-07-27
CARD000299,CUST000383,VISA,500000.0,211963.59,288036.41,42.39,BLOCKED,2026-07-30
CARD000300,CUST000093,VISA,300000.0,12668.55,287331.45,4.22,ACTIVE,2026-08-18
